Tweet,sentiment
"HOY NO COMULGUE :( Eso neta me hace sentir mal :l Alejado del amado...
",-1
"20. Por tus gustos siempre me has caído bien pero ahora te odio porque te vi solo 5 minutos en el DB y desapareciste :(
",-1
"QUE LAMENTABLE MI PROVINCIA :(  https://t.co/wQtfJ48vNc
",-1
"?Papel. ?Tijeras, te gané. ?¡Papel! ?Tijeras, te gané. ?JAJAJA ¡Mamá ya pásame el papel por favor, que ya llevo una hora en el baño! :(
",-1
"La primera ves que me pasa eso y espero que sea la ultima si me vuelve a pasar no creo llegue ami casa :(
",-1
"LLegan y ya me la re bajan :(
",-1
"Ya necesito que superen lo de los trapitos :(
",-1
"Yo quiero. :( https://t.co/tsO8ITQyMN
",-1
"Charmed merecia una novena temporada :(
",-1
"Ya valiooo :( https://t.co/GjYvh6RGeu
",-1
"Cammmmmmi ♡ te extraño :(
",-1
"todos conocen a leo menos yo :(
",-1
"A veces la distancia sirve para darte cuenta que no puedes estar sin el :(
",-1
"@unpuerquito por 1.62 metros de rencor y cumbia. :(
",-1
"@ProyectoAyudaJB voten por esto, es más importante :( #WhereAreUNowVMA
",-1
"@Recienmentero casi nunca pienso en nadie, nunca he dedicado una canción... Soy un ser horrible :-(
",-1
"""El que saca la última conexion es alto gato"" Yo la saco para mantener mi dignidad intacta :((
",-1
"Nuria esta viendo una peli y me ignora muy fuertemente :(
",-1
"Tengo una serie que terminar y yo aqui sin ver la :(
",-1
"Miro al techo y no me duermo :(?
",-1
"Era golazo de @GaldamesJr27 :( #VamosUE
",-1
"@jsxxx__ escríbeme, no puedo hablar por teléfono rn :(
",-1
"Que palo tannnnnnnn Hijue**** :O :(.
",-1
"@stijiu_y :(((( no digas eso estamos buscando gente por que nadie habla descargatelo
",-1
"Ahora tengo remordimiento :(
",-1
"@Andrespr97 las tajaditas :(
",-1
"Otro fin de semana en mi vida sin haber escuchado lo último que hizo Scott Walker con Sunn O))) porque aún le tengo miedo :(
",-1
"Me cuesta trabajo no decir groserías :(!!
",-1
"@Darkle_chan muy tarde :(
",-1
"Es normal que me de sueño muy temprano?:(
",-1
"@f_bonacina desculpa :(
",-1
"@Cris__U TÍPICO, que cris conteste los bardos que le hacen que a nosotras que lo apoyamos y queremos siempre. shoro ah :(
",-1
"nosostros somos la peor cuenta?.recibi un dm diciendo que soms la peor cuenta :(
",-1
"@GilibetRivero Que pregunta tan idiota, muere Gili :(, ya no te quiero.
",-1
"Mis piernitas. :(
",-1
"@AnyheniSalazar @GabrielaNCC LAAAAS AMOOO Y LAAS EXTRAÑO UN MUNDO :((((((((((((
",-1
"De este lunes al otro me quito el ausente, chip :(
",-1
"@DayanaMateus3 yo sí :(
",-1
"@matthunter123 DICES QUE SI TUS HUNTERS ESTAN TRISTES TAMBIEN TU..PUES HAZME FELIZ :(
",-1
"#MeMolestaQue me enoje por todo, ya estoy viejo :(
",-1
"No me gustó que Vitalia haya agredido a la tierna y dulce Adela con tal de amedrentarla :( #LaPoseída.
",-1
"¿por qué no se van a la mierda él y sus cejas? :-(
",-1
"@DaDEBBIEnciCode nooo debs :((( lavyuberimats
",-1
"Que molesto es estar engripada :(
",-1
"@MichaelSToro Me quedé mosca por la última vez.. :(
",-1
"@FlorGonzalezE ya estas en igua? Los extraño zarpado :((
",-1
"@LainyMelendez belleza te extrañooo :(
",-1
"@ViolaesteTweet Tratando de que no pase :(
",-1
"Ayer me quedé hasta tarde mirando por la ventana. Un señor empezó a bajar mi persiana desde fuera. Me estaba echando de la calle :(
",-1
"Que decir, :(
",-1
"Toda la tarde sin poder hablar con ella dios casi me muero. :(
",-1
"Ok me quiebra esoo :((
",-1
"@Danny_1390 tengo multicanal yo :((( y no aparece
",-1
"@WildCrow_SHSF //Pero cómo te vas cuando vengo yo &gt;&gt;&gt;&gt;:(.Buenas nocheees~
",-1
"Va, me quiero hacer ya la camiseta :(( http://t.co/ncxmuKdYt0
",-1
"Abnel me la quiere montar :(
",-1
"Quiero que me pase. :(  https://t.co/oE4EpIayT1
",-1
"@marcelopigni jajaja que malo que es profe! :( siempre estoy de humor ah
",-1
"@CocidoCerebral @kkalienskk JAJAJAJAJA solo puedo leer el de toyes y no puedo ver que hablan :(
",-1
"Quiero volver a estar en middle school para cuando estaba en USA :(
",-1
"Tienen que ver mi ultimo rt :(
",-1
"Es feo quedarse  en casa para ver pelis y pasar la noche solo :(
",-1
"@HabboHappy Me enamoré de la guia pero se ve que tiene Macho alfa. :( q
",-1
"@yipicat ya se :(
",-1
"Yo Estudiando :( jaja 
",-1
"Y si hablan conmigo, yo soy un amor :$ estoy muuuy ladillada saben :((
",-1
"@macasessa jajajajaja que dificil el amor a distancia :(
",-1
"estas ganas tan grandes de buscarte!! pero estas tan lejos :(
",-1
"@sickanabella si fue con Los totora ni enterada cuano tocaron jajaja. Yo queria ver a kapanga pero era imposible llegar cerca :(
",-1
"Cuando me llego esta panza?:(
",-1
"@JULIA_BPLB. Entro en panico porque no se si eres tu o Richie :(
",-1
"@jorgebarsoom sssshhhhh :(.era un secreto :(.:(
",-1
"@MayraFerrero te extrañoooou!!!!! :(
",-1
"@GraceLia_CQ Que no te dijera a ti :(
",-1
"@MagaRosalesNR_ Mi Vida Perdon!!!! :( Cuando venis?
",-1
"@hayleen_12 COMO QUE DUDÓ :(
",-1
"@Camila_Arandia jajaja te odio :(
",-1
"@veronicamargo @ElEmirr_ es culpa de el :(
",-1
"Amigos, cuando esto pegue, no saldre de una rumba :( https://t.co/dm4XH2oXcR
",-1
"Tonto aparece que te extraño :( http://t.co/PjddeD7KAi
",-1
"@ifreesoul_ @beatriziz_ lo siento :(
",-1
"Me toco y me siento ma pequeña desviación :( me re deprime eso
",-1
"quiero hacerme tantos tatuajes :(
",-1
"Si no es un iPhone… No es un iPhone?..Wtf! o.O corran a ese que les hace los comerciales. Jobs debe de estar retorciéndose en su tumba :(
",-1
"Con ganas de un blunt de chocolate !!.:(
",-1
"Uno ya no puede querer cosas nuevas :(
",-1
"@enriquesanz Lo usaba, pero hace años que no lo necesito. Sorry :(
",-1
"@TBlckCat Por que no me farmeas a mi? :(
",-1
"es papa? queeeee? cuando paso eso? la niñita tiene como nose, 6 años, osea que cuando me fuiii al año fue papa :( como lo extraño a rafa
",-1
"Me mata cuando me da el sol en los ojitos :(
",-1
"Quiero tamales :(
",-1
"Vamos muchachos @TeamSoloMid :(
",-1
"Ah que visaje, eso es lo que me tiene cabezón :(
",-1
"quiero que llueva mucho mañana :(
",-1
"No puedo beber hasta el viernes :(
",-1
"adiós serrare mi cuenta de facebook   bye :(
",-1
"Ay coño :( avisame para la próxima https://t.co/x9rZRoYjYX
",-1
"Ando bien malia :(
",-1
"@sofiahrm malditos :(
",-1
"@Miguel_gt jajaja no lo logro tomar en cuenta :(
",-1
"@CrystelRomero1 ay, pero si los conejos son amor :(
",-1
"@tu_en_tanga @BananasStyles13 @ZaynMalikteamo0 @SanchezKerlyn yo también basta :( #MTVHottest One Direction
",-1
"Otra vez a te vick/:(
",-1
"o no Lambo in flames :( 1 Lambo less in #delhi #Lamborghini http://t.co/x3UK9ablE3
",-1
"#DeNi?o Orinaba la cama :(
",-1
"Extraño a mi papá maldita sea :-(
",-1
"Buenas noches gente los veo a la mañana :(
",-1
"@queosdenatos Si tu eres una mujer de caderas turgentes, eres fértil :(
",-1
"Ushhhh jueputa me colocaron a madrugar re harto mañana :(
",-1
"Que pereza maldita sea :(
",-1
"@faka_ terrible lo que están mostrando :(
",-1
"@dion_dza97 @Nurul_khaira10 tidaaaaaaaa :(
",-1
"@NYCFireWire @esperceballos pase dos semanas cerca de allí :(
",-1
"Y ahorita coger para la clínica con mi popocha que esta enferma @DayanaArjona  :(  #mejoresamigasenlasbuenasyenlasmalas
",-1
"@MsRose_84 @sarinballarin estamos muy tristes... :( (En realidad no, porque sospechamos que Harry se lanza en solitario) jaja
",-1
"Siempre gasto todo mi dinero en chucheria, estoy loca :(
",-1
"Que recuerdos twitter :(
",-1
"Queriendo enviar notas de voz y con estos cauchos que no me dejan ni hablar jajajajajajaja :(
",-1
"Quiero ir a plaza y a ver a la gente, les echó de menos :(
",-1
"@DerBlaueMond @guardiacivil @perezreverte pero que pasa con esta gente??? Los neardentales no se extinguieron hace ya muchos años? :(
",-1
"quiero pizzaaaa :(
",-1
"@Lozhnyy Ay, no te puedes matar. :(
",-1
"Quiero Saltillo :(
",-1
"Odio descargar programas :(
",-1
"Me voy el tw; me da mas dolor de cabeza :(
",-1
"@PabloEspOficial .Hola! Te lo ruego seguime? es mi sueno :o :(.Polonia te ama mucho y recuerda en Tu ;3.Pablitooooo ♥.x50
",-1
"No me importa&gt;:(.
",-1
"@iLestrange__ vean que por lo visto la cosa no era conmigo, estoyorando :-(.
",-1
"@ChocoMercu @Loveiswar96 No la metas en esto. Es una cosa entre tu y yo &gt;:(
",-1
"Estoy chato de mi tos :(
",-1
"Odio wsp q anda mal :(
",-1
"Ningún puto link jala chido para fear :(
",-1
"JSJSJAJAJAJAJJA y jamás podre :(((. https://t.co/yv3eNn9YKJ
",-1
"no se conecta :(
",-1
"344 me pareces super guapo y me encanta tu estilo y tus fotos y POR QUE NO ERES DE VALENCIA :(
",-1
"ya esta decidido.- :(
",-1
"Yo respondo a los 3 segundos, es por eso? :(
",-1
"He soñado que Nash me enviaba un dm :(
",-1
"@fluffycutielou es que me gusta recordar viejos tiempos :( yo te quiero mucho más javita&lt;3
",-1
"Si no le hablo me aburro :(
",-1
"Ni le hagan caso a Tom, no soy una traidora. &gt;:(
",-1
"Valdra la pena creerle?:(
",-1
"Es un cosquilleo un no se qué, que recorre mi alma y mis sentidos :( Ay Dios mio :(
",-1
"33. Antes yo tenía conversaciones profundas contigo y molaban. :(
",-1
"@MailenSperati Conchuda, ya ni se por donde contactarme con vos sin fb :( me pintaste pajaritos con ir a tu casa puta
",-1
"le extraño ah la putita de vanni ni bola me da :(
",-1
"@QueAmara yo voy a ir pero a las 4:00 :(
",-1
"A mi mis amigos me tratan de ""sucio"" pa' arriba :(
",-1
"Pereza sal de mi  y deja que haga mi complejo articulo :(
",-1
"hola guapa! espero no molestar, responde en videorespue… — No tengo cam sorry :( Si lo aceptaría xD Me da igual co… http://t.co/oLxBB0f2H3
",-1
"No me gusta mi carrera :(
",-1
"He llegado tarde estos dos últimos partidos :(
",-1
"@PPTeamKaren. @PPTeamLesslie @PPTeamRafa a donde se van que no invitan?:( xD*o*
",-1
"Entré a stalkear a una chica que ya conoció a su novia, quiero llorar :(
",-1
"Me di cuenta que pertenezco a un promedio :( eso le quita significado a mi existencia, pero ya se me ocurrirá algo.
",-1
"quiero mi celuuuuuuuuuuuuuuuuuuuu :(
",-1
"@xxzayns jajajaj :(( que les paso?
",-1
"Que tristeza, todavia no caigo :(
",-1
"El lunes que viene es el cumple de mi hermano, y me siento re mal porq no tengo plata para comprarle un regalito :(
",-1
"En mi escuela si faltan 3 maestros no adelantan ni nada :(
",-1
"Que fea noticia! :( ayer te fuiste de este mundo y ya estarás dando funciones en el cielo..... hasta… https://t.co/hwinnLUHKT
",-1
"@HaroldBedolla_ ay bebe me hubiera encantado, lo juro. :((
",-1
"Si no fueras tan bonita podría tomarme una cerveza contigo sin tirarte la onda. ..:(
",-1
"Tan chevere esa gente a la que le hablan y le hacen la conversación, a mi sólo me habla mi hermana para preguntarme por mi mamá. :(
",-1
"Xq @Piaggi3  me trata de gato si yo ni soy gatoo :(
",-1
"@AndersonDMG_ conmigo y solo conmigo&gt;:(
",-1
"#MeGustaLaEscuelaPero en ocasiones, la maestría te exige hasta morir sólo para que aprendas a respetarla... :(: #NeuroñoñaFeliz
",-1
"0000000. Eres muy guapa, comparte un poco :(
",-1
"@meliespinosab cerraron mi grupo, no fue decisión voluntaria :(
",-1
"@martadediaz Con los chiringuitos cerrados no es lo mismo :(
",-1
"No mms y uno pobre duerme sólo :( jajJajjajajajaj http://t.co/hY8WZixmEh
",-1
